ruta,clase,cubierto_base,cubierto_propuesta,manifiestos_propuesta
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r09-853412d0.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s0-r10-2695ede9.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r01-b43ad524.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r02-0a6c10a2.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r03-12765dce.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r04-f7ae4460.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r05-996b7821.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r06-d1013d12.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r07-1d4c92ef.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r08-c850241a.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r09-7dc1251c.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s1-r10-a61cdbb4.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
